Restaurant	Location	Cuisines	AverageCost	MinimumOrder	Rating	Votes	Reviews	DeliveryTime
ID6321	"FTI College, Law College Road, Pune"	"Fast Food, Rolls, Burger, Salad, Wraps"	200	50	3.5	12	4	30
ID2882	"Sector 3, Marathalli"	"Ice Cream, Desserts"	100	50	3.5	11	4	30
ID1595	Mumbai Central	"Italian, Street Food, Fast Food"	150	50	3.6	99	30	65
ID5929	"Sector 1, Noida"	"Mughlai, North Indian, Chinese"	250	99	3.7	176	95	30
ID6123	"Rmz Centennial, I Gate, Whitefield"	"Cafe, Beverages"	200	99	3.2	521	235	65
ID5221	"Rmz Centennial, I Gate, Whitefield"	"South Indian, North Indian, Chinese"	150	50	3.8	46	18	30
ID3777	Mumbai Central	"Beverages, Fast Food"	150	50	3.7	108	31	30
ID745	Delhi UniversityGTB Nagar	"Chinese, Thai, Asian"	650	50	4.0	1731	1235	45
ID2970	Delhi UniversityGTB Nagar	"Mithai, Street Food"	100	50	3.9	110	26	30
ID3474	"Sector 1, Noida"	"Fast Food, North Indian, Rolls, Chinese, Momos, Mughlai"	200	50	3.9	562	294	65
ID5159	Mumbai Central	"North Indian, Chinese, Mughlai"	350	50	3.8	186	61	30
ID1696	"Yerawada, Pune, Maharashtra"	"Chinese, Thai, Indonesian, Italian"	800	50	4.2	1693	1239	45
ID1156	"Sector 1, Noida"	"Burger, Fast Food, Desserts, Beverages"	150	50				30
ID354	Delhi UniversityGTB Nagar	Beverages	50	0	3.8	184	128	45
ID6891	"Delhi Administration Flats, Timarpur"	Fast Food	100	50	3.5	23	5	30
ID6406	"Moulali, Kolkata"	"Biryani, Mughlai"	100	50	3.6	353	53	30
ID2141	"Sector 1, Noida"	Italian	100	50				30
ID3355	"Dockyard Road, Mumbai CST Area"	"Chinese, North Indian, South Indian, Fast Food"	200	50	3.7	139	47	30
ID5262	Pune University	"Kerala, Bihari"	150	50				30
ID8148	"Gora Bazar, Rajbari, North Dumdum, Kolkata"	South Indian	100	50	3.7	159	46	30
ID1681	"DBlock, Sector 63, Noida"	"Chinese, North Indian, Rolls, Momos"	200	99	2.8	67	23	45
